Date,Close,High,Low,Open,Volume
2015-10-21,50.845523834228516,56.36457545891277,50.845523834228516,55.46784418279474,22498800
2015-10-22,52.46333694458008,53.80381057622749,51.49265035840458,52.75916517033736,4545100
2015-10-23,52.12128448486328,53.618915268728095,52.019592874415885,53.406288958951954,1967600
2015-10-26,50.864013671875,52.6944521115098,50.42027134043783,52.6944521115098,1466300
2015-10-27,49.78239059448242,50.83628263544456,45.6315487419987,50.66063219867552,5949200
2015-10-28,47.95195007324219,50.068973628867234,46.31564825469469,49.93954922399069,2411300
2015-10-29,47.16616439819336,48.50663820745812,46.92302985966376,47.95195756575317,1362800
2015-10-30,46.620731353759766,47.88724636014144,45.90889347419529,47.66537692003503,1355100
2015-11-02,49.070552825927734,49.15375120385278,46.121510287947224,47.01824153323289,890200
2015-11-03,48.423431396484375,50.845526393618925,48.18306875139158,49.079800072648005,1022400
2015-11-04,49.40336227416992,49.95804287300156,48.765483288391906,48.95961991103511,753300
2015-11-05,47.83177185058594,49.78238804813443,47.71159053576761,49.41260454134418,820200
2015-11-06,48.46965026855469,48.46965026855469,47.88723693148387,48.257023960921,513500
2015-11-09,49.18149948120117,49.59750910472855,48.07214166064525,48.83020207393901,442800
2015-11-10,49.92106246948242,49.92106246948242,49.07980026152169,49.643723938851004,376800
2015-11-11,50.235382080078125,50.38329620309858,49.02433277334441,49.92106412784079,471500
2015-11-12,50.03200149536133,50.29085386930634,49.23696171945011,50.22614165745785,379300
2015-11-13,47.5174560546875,49.874838799618054,46.70392666089574,49.874838799618054,1337000
2015-11-16,45.77021026611328,48.02590464258474,45.141578001832144,48.02590464258474,1297500
2015-11-17,45.28024673461914,46.93503815699104,45.12308954584376,46.48204924092906,897300
2015-11-18,43.70866012573242,45.736934522154534,43.643947922920006,45.65927987877963,1102000
2015-11-19,44.004493713378906,44.24485637589956,42.36819521234297,43.875069291968245,2163800
2015-11-20,44.44823455810547,44.82726468898184,44.0229784020937,44.254094421568325,542500
2015-11-23,42.52534484863281,44.642368297252055,42.5068551450778,44.4667178767546,1389000
2015-11-24,42.78419494628906,42.95059875679386,41.27732108951301,42.525346141748486,1036600
2015-11-25,42.21103286743164,43.29265775467518,42.063118744775785,42.987582893012615,868900
2015-11-27,42.580810546875,42.91361460454328,41.97066448465804,42.1463113645288,285300
2015-11-30,42.848915100097656,43.32963691671579,42.41441931562734,42.80269259450096,566400
2015-12-01,44.04146957397461,44.614636333931216,42.93211193823065,42.98758105431059,667100
2015-12-02,43.643951416015625,44.49260882357942,43.31114375974335,44.26334422664477,614800
2015-12-03,43.505279541015625,44.244850077039274,42.75646238960704,43.8565733415328,528500
2015-12-04,44.88272476196289,45.160063245946,43.53300822044165,43.76412421151927,583200
2015-12-07,44.36503219604492,46.58374384436694,43.92128633982996,44.9751783401523,861400
2015-12-08,44.022979736328125,45.29874118992763,43.44981297809385,44.827266047592325,842500
2015-12-09,44.14316177368164,45.70550486846938,43.57923809567549,43.856576626639786,507600
2015-12-10,45.28024673461914,45.63154404544984,44.26333773540698,44.438984627547164,526800
2015-12-11,45.10459518432617,45.502114949240095,43.9989371337693,44.38351093376955,480300
2015-12-14,43.385101318359375,45.0214032295944,42.52534940692147,44.42050014257195,699400
2015-12-15,43.95826721191406,45.38194277106278,43.357367663360854,43.38510045784081,760700
2015-12-16,44.836509704589844,45.271008968367674,43.717908968641325,44.67010588129411,534500
2015-12-17,43.8935546875,45.28949744200475,43.468302051333914,44.97517950950142,547100
2015-12-18,42.858154296875,43.89355305449138,42.52534667171782,43.41283132110329,461200
2015-12-21,43.82884216308594,44.18938259226998,42.608549852055056,42.75646396470878,623100
2015-12-22,43.09851837158203,45.04913832337896,43.04305277869172,43.893558117485135,448500
2015-12-23,43.496036529541016,44.36503506710227,43.274167113625936,43.48679343994071,232200
2015-12-24,43.218692779541016,43.92128388053161,43.089268381454616,43.09851146993921,150600
2015-12-28,42.92286682128906,43.91204308874302,42.77957601970618,43.71790648145966,269300
2015-12-29,44.30956268310547,44.50369928935604,43.17709562009325,43.30189671652561,505500
2015-12-30,44.7533073425293,44.88273175344546,43.912045145023505,44.30956499372356,297000
2015-12-31,44.374271392822266,45.19242046994532,43.84732720215652,44.61463047785128,390400
2016-01-04,43.81034851074219,44.19862522556746,42.904374211550284,43.71790352111966,2507000
2016-01-05,44.8272590637207,45.04912843970619,43.865815696983226,44.928947137226466,1934400
2016-01-06,43.5145263671875,44.24485387710242,43.06154091783324,44.14316225843695,2554900
2016-01-07,43.12625503540039,43.5237749114935,42.67326603942768,42.913625172470724,1775300
2016-01-08,39.853641510009766,43.107755042197894,39.853641510009766,43.08001872560119,5116900
